trans_id,timestamp,merchant_name,alibaba_category,amount,payment_method,fee_amount,settlement_amount,trans_status,region
trans00000081,2025-08-02 00:00:00,Shenzhen Lighting Tech,Lampu & Pencahayaan,1495013,Debit Card,15066,1479947,Failed,China
trans00000082,2025-08-02 00:00:00,Henan Pet Supplies,Perlengkapan Sekolah & Kantor,1243016,Virtual Account,14106,1228910,Pending,Vietnam
trans00000083,2025-08-02 00:00:00,Shanghai Outdoor Sports Ltd,Energi Terbarukan,830782,Debit Card,8884,821898,Success,China
trans00000084,2025-08-02 00:00:00,Jiangsu Heavy Equipment,Mesin Konstruksi & Bangunan,1418196,Bank Transfer,10892,1407304,Pending,Vietnam
trans00000085,2025-08-02 00:00:00,Yunnan Fabrication Services,Perlengkapan & Peralatan Otomotif,873510,Credit Card,7509,866001,Failed,Indonesia
trans00000086,2025-08-02 00:00:00,Anhui Machinery Tools,Layanan lainnya,787588,QRIS,9012,778576,Pending,Malaysia
trans00000087,2025-08-02 00:00:00,Zhejiang Industrial Supplier,Perlengkapan Hewan Peliharaan,1011073,Virtual Account,7129,1003944,Pending,Vietnam
trans00000088,2025-08-02 00:00:00,Chongqing Auto Parts,Keselamatan & Keamanan,596707,Credit Card,5989,590718,Success,Indonesia
trans00000089,2025-08-02 00:00:00,Tianjin Printing & Packaging,Perlengkapan Sekolah & Kantor,597060,E-Wallet,4404,592656,Failed,Indonesia
trans00000090,2025-08-02 00:00:00,Ningbo Packaging Solutions,"Perhiasan, Kacamata & Jam Tangan",1263640,QRIS,11204,1252436,Success,China
trans00000091,2025-08-02 00:00:00,Shenzhen Lighting Tech,Pengelolaan Bahan,1274449,Bank Transfer,10713,1263736,Success,China
trans00000092,2025-08-02 00:00:00,Ningbo Packaging Solutions,Pakaian & Aksesori,1154110,Virtual Account,11083,1143027,Pending,Indonesia
trans00000093,2025-08-02 00:00:00,Anhui Machinery Tools,Lampu & Pencahayaan,862830,Debit Card,9542,853288,Success,Indonesia
trans00000094,2025-08-02 00:00:00,Ningbo Packaging Solutions,Pakaian Olahraga & Luar Ruangan,926530,Debit Card,8847,917683,Pending,Malaysia
trans00000095,2025-08-02 00:00:00,Anhui Machinery Tools,"Pertanian, Makanan & Minuman",1440682,QRIS,10223,1430459,Failed,China
trans00000096,2025-08-02 00:00:00,Anhui Machinery Tools,Barang Elektronik,996452,E-Wallet,10496,985956,Pending,Vietnam
trans00000097,2025-08-02 00:00:00,Anhui Machinery Tools,Pengelolaan Bahan,320426,Credit Card,3483,316943,Failed,Indonesia
trans00000098,2025-08-02 00:00:00,Jiangsu Heavy Equipment,Bahan Baku,898624,E-Wallet,8311,890313,Failed,Vietnam
trans00000099,2025-08-02 00:00:00,Yunnan Fabrication Services,Perlengkapan Hewan Peliharaan,1405124,Virtual Account,10292,1394832,Failed,China
trans00000100,2025-08-02 00:00:00,Hubei Health Products,Perlengkapan Sekolah & Kantor,911900,QRIS,8468,903432,Success,Indonesia
trans00000101,2025-08-02 00:00:00,Chongqing Auto Parts,Kerajinan & Suvenir,326692,Bank Transfer,3762,322930,Pending,Malaysia
trans00000102,2025-08-02 00:00:00,Hubei Health Products,Furnitur,334406,Debit Card,3858,330548,Success,China
trans00000103,2025-08-02 00:00:00,Shanghai Outdoor Sports Ltd,Komponen Elektronik,1148429,Credit Card,12113,1136316,Success,Indonesia
trans00000104,2025-08-02 00:00:00,Xiamen Home Furnishing,Suku Cadang & Aksesori Kendaraan,1061784,E-Wallet,11526,1050258,Pending,Indonesia
trans00000105,2025-08-02 00:00:00,Shenzhen Lighting Tech,Produk Kesehatan,1441586,Bank Transfer,12111,1429475,Failed,Malaysia
trans00000106,2025-08-02 00:00:00,Yunnan Fabrication Services,Suku Cadang & Aksesori Kendaraan,604304,Bank Transfer,5973,598331,Failed,Malaysia
trans00000107,2025-08-03 00:00:00,Beijing Plastics Manufacturing,"Pertanian, Makanan & Minuman",914548,QRIS,8914,905634,Success,Malaysia
trans00000108,2025-08-03 00:00:00,Fujian Apparel Factory,"Pertanian, Makanan & Minuman",904518,QRIS,6481,898037,Pending,Indonesia
trans00000109,2025-08-03 00:00:00,Sichuan Kids Toys,Bahan Baku,1344048,E-Wallet,11810,1332238,Failed,Malaysia
trans00000110,2025-08-03 00:00:00,Shanghai Outdoor Sports Ltd,Peralatan & Instrumen Pengujian,936233,Bank Transfer,8431,927802,Success,Indonesia
trans00000111,2025-08-03 00:00:00,Jiangsu Heavy Equipment,Kemasan & Cetakan,345819,E-Wallet,3197,342622,Success,Vietnam
trans00000112,2025-08-03 00:00:00,Beijing Plastics Manufacturing,"Pertanian, Makanan & Minuman",671816,Virtual Account,7175,664641,Failed,Indonesia
trans00000113,2025-08-03 00:00:00,Henan Pet Supplies,Kendaraan & Transportasi,640462,QRIS,6000,634462,Success,Indonesia
trans00000114,2025-08-03 00:00:00,Jiangsu Heavy Equipment,Produk Kesehatan,1274904,QRIS,11946,1262958,Success,Vietnam
trans00000115,2025-08-03 00:00:00,Tianjin Printing & Packaging,Layanan Fabrikasi,1079695,Bank Transfer,8805,1070890,Pending,China
trans00000116,2025-08-03 00:00:00,Jiangsu Heavy Equipment,Perlengkapan Hewan Peliharaan,859746,Debit Card,7308,852438,Success,China
trans00000117,2025-08-03 00:00:00,Beijing Plastics Manufacturing,Transmisi Daya,759757,QRIS,8247,751510,Success,Vietnam
trans00000118,2025-08-03 00:00:00,Sichuan Kids Toys,Kendaraan & Transportasi,936290,E-Wallet,6813,929477,Pending,Indonesia
trans00000119,2025-08-03 00:00:00,Shenzhen Lighting Tech,Pakaian Olahraga & Luar Ruangan,1458673,Virtual Account,16816,1441857,Failed,Vietnam
trans00000120,2025-08-03 00:00:00,Tianjin Printing & Packaging,"Orang Tua, Anak, & Mainan",1143735,QRIS,9611,1134124,Pending,Malaysia
trans00000121,2025-08-03 00:00:00,Ningbo Packaging Solutions,Kecantikan,874992,Debit Card,8597,866395,Success,Malaysia
trans00000122,2025-08-03 00:00:00,Shenzhen Lighting Tech,Barang Elektronik,596150,Debit Card,5128,591022,Failed,Indonesia
trans00000123,2025-08-03 00:00:00,Henan Pet Supplies,Produk Kesehatan,556234,E-Wallet,4424,551810,Success,China
trans00000124,2025-08-03 00:00:00,Fujian Apparel Factory,Rumah & Taman,857913,Bank Transfer,6775,851138,Success,Vietnam
trans00000125,2025-08-03 00:00:00,Sichuan Kids Toys,Layanan Fabrikasi,392668,Bank Transfer,3320,389348,Success,Indonesia
trans00000126,2025-08-03 00:00:00,Sichuan Kids Toys,Kecantikan,1063871,Credit Card,10639,1053232,Success,Indonesia
trans00000127,2025-08-03 00:00:00,Hubei Health Products,Kecantikan,1406087,QRIS,12198,1393889,Success,Vietnam
trans00000128,2025-08-03 00:00:00,Xiamen Home Furnishing,Pengelolaan Bahan,310182,E-Wallet,2879,307303,Pending,China
trans00000129,2025-08-03 00:00:00,Tianjin Printing & Packaging,Bahan Baku,909479,Debit Card,10019,899460,Failed,Indonesia
trans00000130,2025-08-03 00:00:00,Ningbo Packaging Solutions,Barang Elektronik,576056,Virtual Account,6736,569320,Failed,Indonesia
trans00000131,2025-08-03 00:00:00,Shanghai Outdoor Sports Ltd,Alat & Mesin Komersial,526986,Virtual Account,5264,521722,Failed,Vietnam
trans00000132,2025-08-03 00:00:00,Ningbo Packaging Solutions,Layanan Fabrikasi,463359,Debit Card,3622,459737,Failed,Indonesia
trans00000133,2025-08-03 00:00:00,Shanghai Outdoor Sports Ltd,Furnitur,895215,Virtual Account,8808,886407,Success,Vietnam
trans00000134,2025-08-03 00:00:00,Sichuan Kids Toys,Suku Cadang & Aksesori Kendaraan,1218972,Credit Card,10441,1208531,Success,Malaysia
trans00000135,2025-08-03 00:00:00,Fujian Apparel Factory,"Koper, Tas & Pelindung",887185,Credit Card,7108,880077,Success,China
trans00000136,2025-08-03 00:00:00,Shenzhen Lighting Tech,Kecantikan,1036409,QRIS,8575,1027834,Pending,Indonesia
trans00000137,2025-08-03 00:00:00,Yunnan Fabrication Services,Layanan lainnya,310403,Bank Transfer,3170,307233,Pending,China
trans00000138,2025-08-03 00:00:00,Shanghai Outdoor Sports Ltd,Kendaraan & Transportasi,332595,Credit Card,3900,328695,Failed,Indonesia
trans00000139,2025-08-03 00:00:00,Tianjin Printing & Packaging,"Orang Tua, Anak, & Mainan",1046661,QRIS,9447,1037214,Pending,Vietnam
trans00000140,2025-08-03 00:00:00,Henan Pet Supplies,"Koper, Tas & Pelindung",1136155,Debit Card,8641,1127514,Pending,Vietnam
trans00000141,2025-08-03 00:00:00,Shanghai Outdoor Sports Ltd,Transmisi Daya,324788,Debit Card,3635,321153,Success,Malaysia
trans00000142,2025-08-03 00:00:00,Xiamen Home Furnishing,Mesin Konstruksi & Bangunan,556182,Debit Card,4398,551784,Success,Vietnam
trans00000143,2025-08-03 00:00:00,Ningbo Packaging Solutions,Peralatan & Perkakas,834413,QRIS,7248,827165,Pending,Malaysia
trans00000144,2025-08-03 00:00:00,Yunnan Fabrication Services,Komponen Elektronik,1424890,Credit Card,10706,1414184,Pending,Indonesia
trans00000145,2025-08-03 00:00:00,Zhejiang Industrial Supplier,Peralatan & Perkakas,1247729,Debit Card,14272,1233457,Failed,China
trans00000146,2025-08-03 00:00:00,Sichuan Kids Toys,Mesin Industri,580281,E-Wallet,6365,573916,Pending,Vietnam
trans00000147,2025-08-03 00:00:00,Hubei Health Products,Sepatu & Aksesoris,1161491,Bank Transfer,11928,1149563,Pending,China
trans00000148,2025-08-03 00:00:00,Chongqing Auto Parts,Transmisi Daya,450597,E-Wallet,4834,445763,Pending,Malaysia
trans00000149,2025-08-03 00:00:00,Chongqing Auto Parts,Produk Kesehatan,718298,Credit Card,7459,710839,Pending,China
trans00000150,2025-08-03 00:00:00,Jiangsu Heavy Equipment,Perlengkapan Sekolah & Kantor,921686,Bank Transfer,6691,914995,Failed,Malaysia
trans00000151,2025-08-03 00:00:00,Xiamen Home Furnishing,Perlengkapan & Peralatan Otomotif,717747,Bank Transfer,7600,710147,Failed,Indonesia
trans00000152,2025-08-03 00:00:00,Ningbo Packaging Solutions,Komponen Elektronik,1335326,Credit Card,11950,1323376,Success,China
trans00000153,2025-08-03 00:00:00,Sichuan Kids Toys,Transmisi Daya,887838,QRIS,9224,878614,Success,Indonesia
trans00000154,2025-08-03 00:00:00,Henan Pet Supplies,Kemasan & Cetakan,904700,Debit Card,9805,894895,Failed,Malaysia
trans00000155,2025-08-03 00:00:00,Chongqing Auto Parts,Kecantikan,1439750,Credit Card,11390,1428360,Failed,China
trans00000156,2025-08-03 00:00:00,Zhejiang Industrial Supplier,Furnitur,1336042,Bank Transfer,12397,1323645,Success,Indonesia
trans00000157,2025-08-03 00:00:00,Shanghai Outdoor Sports Ltd,Perlengkapan Hewan Peliharaan,1333523,Credit Card,13336,1320187,Failed,Vietnam
trans00000158,2025-08-03 00:00:00,Xiamen Home Furnishing,Sepatu & Aksesoris,1494843,Virtual Account,10866,1483977,Success,Vietnam
trans00000159,2025-08-03 00:00:00,Jiangsu Heavy Equipment,"Orang Tua, Anak, & Mainan",1467044,E-Wallet,17169,1449875,Failed,Malaysia
trans00000160,2025-08-03 00:00:00,Hubei Health Products,Layanan lainnya,1397584,Virtual Account,12685,1384899,Pending,China
trans00000161,2025-08-03 00:00:00,Xiamen Home Furnishing,Peralatan & Perkakas,819360,QRIS,9615,809745,Pending,Malaysia
trans00000162,2025-08-03 00:00:00,Tianjin Printing & Packaging,Produk Kesehatan,481643,Bank Transfer,4861,476782,Pending,China
trans00000163,2025-08-03 00:00:00,Chongqing Auto Parts,Peralatan & Perlengkapan Kelistrikan,1335509,E-Wallet,13872,1321637,Pending,Malaysia
trans00000164,2025-08-03 00:00:00,Jiangsu Heavy Equipment,Pakaian & Aksesori,747009,Debit Card,7983,739026,Pending,Malaysia
trans00000165,2025-08-03 00:00:00,Xiamen Home Furnishing,Mesin Industri,843679,E-Wallet,7048,836631,Pending,Malaysia
trans00000166,2025-08-03 00:00:00,Zhejiang Industrial Supplier,Layanan Fabrikasi,314416,E-Wallet,2818,311598,Success,Malaysia
trans00000167,2025-08-03 00:00:00,Hubei Health Products,Produk Kesehatan,570544,Debit Card,6337,564207,Success,China
trans00000168,2025-08-03 00:00:00,Chongqing Auto Parts,Barang Elektronik,319799,Debit Card,2612,317187,Failed,Malaysia
trans00000169,2025-08-03 00:00:00,Beijing Plastics Manufacturing,Olahraga & Hiburan,1273886,Bank Transfer,10092,1263794,Success,Malaysia
trans00000170,2025-08-03 00:00:00,Sichuan Kids Toys,Peralatan & Perlengkapan Kelistrikan,768099,E-Wallet,6966,761133,Failed,Vietnam
trans00000171,2025-08-03 00:00:00,Anhui Machinery Tools,Komponen Elektronik,945574,Debit Card,9508,936066,Failed,Vietnam
trans00000172,2025-08-03 00:00:00,Ningbo Packaging Solutions,Peralatan & Perkakas,612907,QRIS,4896,608011,Failed,Malaysia
trans00000173,2025-08-03 00:00:00,Xiamen Home Furnishing,Peralatan & Perkakas,998203,Credit Card,9082,989121,Failed,Malaysia
trans00000174,2025-08-03 00:00:00,Zhejiang Industrial Supplier,Kemasan & Cetakan,1458293,QRIS,12729,1445564,Failed,Indonesia
trans00000175,2025-08-03 00:00:00,Xiamen Home Furnishing,Perlengkapan Sekolah & Kantor,395750,Virtual Account,3193,392557,Failed,Vietnam
trans00000176,2025-08-03 00:00:00,Tianjin Printing & Packaging,Kerajinan & Suvenir,1193383,Bank Transfer,10808,1182575,Success,Indonesia
trans00000177,2025-08-03 00:00:00,Chongqing Auto Parts,Rumah & Taman,647190,Credit Card,5058,642132,Success,Indonesia
trans00000178,2025-08-03 00:00:00,Zhejiang Industrial Supplier,Pakaian & Aksesori,1094594,Bank Transfer,12089,1082505,Pending,Indonesia
trans00000179,2025-08-03 00:00:00,Ningbo Packaging Solutions,Pengelolaan Bahan,466904,QRIS,5208,461696,Success,Indonesia
trans00000180,2025-08-03 00:00:00,Shenzhen Lighting Tech,Lampu & Pencahayaan,744984,Credit Card,8622,736362,Pending,China
trans00000181,2025-08-03 00:00:00,Yunnan Fabrication Services,"Orang Tua, Anak, & Mainan",847452,Virtual Account,8955,838497,Success,Indonesia
trans00000182,2025-08-03 00:00:00,Hubei Health Products,"Pertanian, Makanan & Minuman",1312457,QRIS,9521,1302936,Failed,Indonesia
trans00000183,2025-08-03 00:00:00,Sichuan Kids Toys,Perlengkapan & Peralatan Otomotif,703269,Debit Card,8123,695146,Pending,Vietnam
trans00000184,2025-08-03 00:00:00,Jiangsu Heavy Equipment,Perlengkapan Sekolah & Kantor,404467,Virtual Account,4570,399897,Failed,China
trans00000185,2025-08-03 00:00:00,Beijing Plastics Manufacturing,Alat & Mesin Komersial,1247143,Credit Card,10120,1237023,Pending,China
trans00000186,2025-08-04 00:00:00,Xiamen Home Furnishing,"Koper, Tas & Pelindung",965932,Virtual Account,7907,958025,Failed,Malaysia
trans00000187,2025-08-04 00:00:00,Guangzhou Electronics Co.,Perawatan Pribadi & Rumah,560537,Virtual Account,5408,555129,Success,Malaysia
trans00000188,2025-08-04 00:00:00,Hubei Health Products,Peralatan & Perkakas,606865,Virtual Account,5719,601146,Failed,Malaysia
trans00000189,2025-08-04 00:00:00,Sichuan Kids Toys,Sepatu & Aksesoris,1125498,Credit Card,13021,1112477,Pending,Vietnam
trans00000190,2025-08-04 00:00:00,Fujian Apparel Factory,"Koper, Tas & Pelindung",515472,E-Wallet,5763,509709,Failed,Vietnam
trans00000191,2025-08-04 00:00:00,Chongqing Auto Parts,Komponen Elektronik,387673,QRIS,4539,383134,Success,Malaysia
trans00000192,2025-08-04 00:00:00,Guangzhou Electronics Co.,Perawatan Pribadi & Rumah,876264,Virtual Account,7739,868525,Success,Malaysia
trans00000193,2025-08-04 00:00:00,Sichuan Kids Toys,Peralatan & Perkakas,494191,Bank Transfer,3999,490192,Pending,Vietnam
trans00000194,2025-08-04 00:00:00,Guangzhou Electronics Co.,Olahraga & Hiburan,1359460,QRIS,11925,1347535,Failed,China
trans00000195,2025-08-04 00:00:00,Fujian Apparel Factory,Furnitur,536288,Virtual Account,4917,531371,Pending,Indonesia
trans00000196,2025-08-04 00:00:00,Sichuan Kids Toys,"Orang Tua, Anak, & Mainan",1192132,Bank Transfer,11102,1181030,Success,Vietnam
trans00000197,2025-08-04 00:00:00,Fujian Apparel Factory,Pakaian Olahraga & Luar Ruangan,306221,E-Wallet,2548,303673,Failed,Indonesia
